municipio,total_atendimentos,uf,populacao,atendimentos_100k,incoerente,regiao
JIJOCA DE JERICOACOARA,746,CE,20351,3665.6675347648766,False,Nordeste
JUAZEIRO DO NORTE,4495,CE,278264,1615.3724520599144,False,Nordeste
JUCAS,1297,CE,24949,5198.605154515211,False,Nordeste
LAVRAS DA MANGABEIRA,1484,CE,31476,4714.703265980429,False,Nordeste
LIMOEIRO DO NORTE,1719,CE,60232,2853.964669942887,False,Nordeste
MADALENA,1015,CE,20031,5067.145923818081,False,Nordeste
MARACANAU,4403,CE,230986,1906.1761318867811,False,Nordeste
MARANGUAPE,3728,CE,131677,2831.170211958049,False,Nordeste
MARCO,1509,CE,27822,5423.765365538064,False,Nordeste
MARTINOPOLE,703,CE,11407,6162.882440606645,False,Nordeste
MASSAPE,1492,CE,39341,3792.4811265600774,False,Nordeste
MAURITI,2587,CE,48370,5348.3564192681415,False,Nordeste
MERUOCA,656,CE,15309,4285.061075184532,False,Nordeste
MILAGRES,1572,CE,27413,5734.5055265749825,False,Nordeste
MILHA,613,CE,13129,4669.053240917054,False,Nordeste
MIRAIMA,734,CE,13965,5255.997135696383,False,Nordeste
MISSAO VELHA,1921,CE,35566,5401.225889894844,False,Nordeste
MOMBACA,1829,CE,43917,4164.674271922035,False,Nordeste
MONSENHOR TABOSA,1106,CE,17264,6406.3948100092675,False,Nordeste
MORADA NOVA,2025,CE,61590,3287.8714076960546,False,Nordeste
MORAUJO,518,CE,8833,5864.372240461904,False,Nordeste
MORRINHOS,1032,CE,22830,4520.367936925099,False,Nordeste
MUCAMBO,387,CE,14561,2657.7844928232953,False,Nordeste
MULUNGU,680,CE,11056,6150.506512301013,False,Nordeste
NOVA OLINDA,880,CE,15798,5570.325357640208,False,Nordeste
NOVA RUSSAS,967,CE,32487,2976.5752454828084,False,Nordeste
NOVO ORIENTE,1580,CE,28737,5498.1382886174615,False,Nordeste
OCARA,882,CE,25958,3397.796440403729,False,Nordeste
OROS,1303,CE,21342,6105.332208790179,False,Nordeste
PACAJUS,1682,CE,74145,2268.527884550543,False,Nordeste
PACATUBA,1662,CE,85647,1940.523310798977,False,Nordeste
PACOTI,528,CE,12313,4288.150734995534,False,Nordeste
PACUJA,255,CE,6565,3884.234577303884,False,Nordeste
PALHANO,389,CE,9458,4112.92027912878,False,Nordeste
PALMACIA,628,CE,13553,4633.6604441821,False,Nordeste
PARACURU,1365,CE,35526,3842.2563756122277,False,Nordeste
PARAIPABA,1384,CE,33232,4164.660568127107,False,Nordeste
PARAMBU,900,CE,31391,2867.0638080978624,False,Nordeste
PARAMOTI,632,CE,12276,5148.256761159987,False,Nordeste
PEDRA BRANCA,1824,CE,43359,4206.739085311008,False,Nordeste
PENAFORTE,753,CE,9207,8178.559791463018,False,Nordeste
PENTECOSTE,1381,CE,38045,3629.9119463792877,False,Nordeste
PEREIRO,604,CE,16356,3692.834433846906,False,Nordeste
PINDORETAMA,1172,CE,20964,5590.536157221904,False,Nordeste
PIQUET CARNEIRO,532,CE,17210,3091.226031377106,False,Nordeste
PIRES FERREIRA,381,CE,11052,3447.339847991314,False,Nordeste
PORANGA,672,CE,12358,5437.773102443761,False,Nordeste
PORTEIRAS,866,CE,14920,5804.289544235925,False,Nordeste
POTENGI,446,CE,11165,3994.626063591581,False,Nordeste
POTIRETAMA,249,CE,6455,3857.474825716499,False,Nordeste
QUITERIANOPOLIS,833,CE,21246,3920.7380212745934,False,Nordeste
QUIXADA,4018,CE,88899,4519.735880043645,False,Nordeste
QUIXELO,663,CE,16116,4113.9240506329115,False,Nordeste
QUIXERAMOBIM,2621,CE,82455,3178.703535261658,False,Nordeste
QUIXERE,542,CE,22432,2416.191155492154,False,Nordeste
REDENCAO,1200,CE,29238,4104.247896572953,False,Nordeste
RERIUTABA,760,CE,18279,4157.776683626019,False,Nordeste
RUSSAS,1260,CE,79550,1583.909490886235,False,Nordeste
SABOEIRO,765,CE,15757,4854.985085993527,False,Nordeste
SALITRE,1280,CE,16714,7658.250568385784,False,Nordeste
